sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
1,2026-09-13T00:28:07.853+00:00,0.006416,0.006416,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2,2026-09-13T00:28:08.001+00:00,0.154766,0.148349,Chordcat 0,control_change,1,,,,11,120,,,,,,B0 0B 78,control_change channel=0 control=11 value=120 time=0
3,2026-09-13T00:28:08.015+00:00,0.168994,0.014228,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
4,2026-09-13T00:28:08.030+00:00,0.183382,0.014389,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
5,2026-09-13T00:28:08.044+00:00,0.198169,0.014786,Chordcat 0,control_change,1,,,,11,96,,,,,,B0 0B 60,control_change channel=0 control=11 value=96 time=0
6,2026-09-13T00:28:08.059+00:00,0.212938,0.014769,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
7,2026-09-13T00:28:08.073+00:00,0.227067,0.014129,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
8,2026-09-13T00:28:08.090+00:00,0.2433,0.016233,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
9,2026-09-13T00:28:08.103+00:00,0.256544,0.013244,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
10,2026-09-13T00:28:08.117+00:00,0.271074,0.01453,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
