sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
1,2026-09-12T23:04:28.295+00:00,1.885278,1.885278,Chordcat 0,note_on,2,37,C#2,100,,,,,,,,91 25 64,note_on channel=1 note=37 velocity=100 time=0
2,2026-09-12T23:04:28.295+00:00,1.886123,0.000845,Chordcat 0,note_on,2,54,F#3,100,,,,,,,,91 36 64,note_on channel=1 note=54 velocity=100 time=0
3,2026-09-12T23:04:28.295+00:00,1.8865,0.000377,Chordcat 0,note_on,2,59,B3,100,,,,,,,,91 3B 64,note_on channel=1 note=59 velocity=100 time=0
4,2026-09-12T23:04:28.295+00:00,1.886755,0.000254,Chordcat 0,note_on,2,63,D#4,100,,,,,,,,91 3F 64,note_on channel=1 note=63 velocity=100 time=0
5,2026-09-12T23:04:28.295+00:00,1.887019,0.000264,Chordcat 0,note_on,2,68,G#4,100,,,,,,,,91 44 64,note_on channel=1 note=68 velocity=100 time=0
6,2026-09-12T23:04:29.456+00:00,3.046171,1.159151,Chordcat 0,note_on,2,37,C#2,0,,,,,,,,91 25 00,note_on channel=1 note=37 velocity=0 time=0
7,2026-09-12T23:04:29.456+00:00,3.046902,0.000731,Chordcat 0,note_on,2,54,F#3,0,,,,,,,,91 36 00,note_on channel=1 note=54 velocity=0 time=0
8,2026-09-12T23:04:29.456+00:00,3.047409,0.000507,Chordcat 0,note_on,2,59,B3,0,,,,,,,,91 3B 00,note_on channel=1 note=59 velocity=0 time=0
9,2026-09-12T23:04:29.457+00:00,3.047774,0.000365,Chordcat 0,note_on,2,63,D#4,0,,,,,,,,91 3F 00,note_on channel=1 note=63 velocity=0 time=0
10,2026-09-12T23:04:29.457+00:00,3.048173,0.000399,Chordcat 0,note_on,2,68,G#4,0,,,,,,,,91 44 00,note_on channel=1 note=68 velocity=0 time=0
11,2026-09-12T23:04:36.335+00:00,9.925694,6.877521,Chordcat 0,note_on,2,45,A2,100,,,,,,,,91 2D 64,note_on channel=1 note=45 velocity=100 time=0
12,2026-09-12T23:04:36.335+00:00,9.926183,0.000489,Chordcat 0,note_on,2,55,G3,100,,,,,,,,91 37 64,note_on channel=1 note=55 velocity=100 time=0
13,2026-09-12T23:04:36.335+00:00,9.92656,0.000376,Chordcat 0,note_on,2,60,C4,100,,,,,,,,91 3C 64,note_on channel=1 note=60 velocity=100 time=0
14,2026-09-12T23:04:36.335+00:00,9.926848,0.000289,Chordcat 0,note_on,2,62,D4,100,,,,,,,,91 3E 64,note_on channel=1 note=62 velocity=100 time=0
